,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,skill_value
0,202001171602116-1-UK4SZPHN0V6FHU,左牵黄,540.0,550.0,征服赛季,1,4,111,1
0,201912221702116-1-ZWPSEFQUS8XR2D,舞步凌乱,520.0,887.0,备战区,5,5,143,1
0,202001271802116-1-H5ZEE3PAJRZ8QP,Shmliy,800.0,800.0,备战区,1,3,192,1
0,201912230902116-1-MZJXFZBE41SUKO,董小白,3699.0,4300.0,征服赛季,12,10,340,1
0,201912290102116-1-M3A9K7WYD5XOVO,诗颜若,650.0,650.0,征服赛季,10,4,162,1
0,201905081202116-1-UAT70LNVDS2ANR,帝丨江南,300.0,360.0,备战区,3,2,92,1
0,202001272302116-1-AFBGKMMPGC7S4F,庭前木兰,600.0,600.0,征服赛季,5,2,196,1
0,201910240902116-1-SP57KS0VRO6IJQ,義丶闷倒驴,888.0,666.0,备战区,18,3,237,1
0,202001280102116-1-VOPCNZ7QJKTUNB,乌莱娜作呕,200.0,260.0,备战区,1,0,60,1
0,202001221802116-1-QE01YDMTTZXW8M,封丨秋树,2000.0,4000.0,备战区,7,7,202,1
0,201912272002116-1-A4FTNE0NGAGVTL,村丶烦烦烦,2088.0,4888.0,备战区,9,7,313,1
0,202001280102116-1-93XQARDUOAKEQE,影子sky,280.0,280.0,备战区,2,1,130,1
0,202001062302116-1-Z645O0CAJYJ9XF,帝丨桃色玫瑰,1300.0,1500.0,征服赛季,1,7,240,1
0,202001102102116-1-XOAXVPXS2OLQKG,狼王夏小枫,200.0,200.0,备战区,8,3,76,1
0,202001261202116-1-NGKOUFZNGMFTTG,社会王啊,1000.0,1800.0,备战区,1,4,195,1
0,202001280002116-1-P5BKGKFK52L73H,禅丶鬼才,999.0,899.0,征服赛季,1,7,175,1
0,202001270802116-1-QSB5O8SNWGYXWG,淮阴甲兵,200.0,200.0,征服赛季,1,1,71,1
0,202001272302116-1-IY5JVR6JBDGLES,江山散人丶丑,3456.0,3788.0,征服赛季,2,7,344,1
0,202001262302116-1-MBMMW3DB3OGZTS,鄴郡武骑,300.0,200.0,备战区,15,5,114,1
0,202001191202116-1-SVGXUXRDMPABJB,可以解忧愁,1200.0,1200.0,征服赛季,8,6,228,1
0,202001280002116-1-YD1SFSTX6S0N8H,傲丨墨墨,200.0,200.0,备战区,1,1,84,1
0,202001271302116-1-7LQCIFTLTZP5MG,受益人丶理,1500.0,1500.0,备战区,1,4,328,1
0,202001201902116-1-OZHSH5DUE6TWHT,烟清丨偷心贼,1500.0,1688.0,征服赛季,1,6,270,1
0,202001272102116-1-EEIEDTSPEQI6WL,三生决,300.0,300.0,备战区,18,4,139,1
0,201911241502116-1-JFDTZQGUURXMR6,力拔山兮1,200.0,200.0,备战区,2,1,84,1
0,202001272202116-1-LGOT1PMA1FSVUG,幽云十三骑,850.0,850.0,征服赛季,7,6,177,1
0,202001271702116-1-PKG3B3AL6W69GR,请叫我大师兄,2600.0,2600.0,备战区,4,5,201,1
0,201911292002116-1-RPULTCV1G1IWUX,一头猛虎,280.0,200.0,备战区,0,2,91,1
0,202001272102116-1-PVXIG0EMQZ9YWN,鹿游原,1199.0,1199.0,备战区,1,3,179,1
0,202001232202116-1-5BZEGZ1KN48BEO,酒丶金戈铁马,1388.0,1388.0,征服赛季,1,4,215,1
0,201912121302116-1-QEIBDHV6BYUBHA,九龙丨阿肆,3888.0,5000.0,备战区,12,7,336,1
